Designer,Category,Num of Years Since 1st Listed,Num of Years Listed,Founding Year,Age,Age (copy),Age Group,Listed?,Status,Rank,Year,Relative Age
Nina Ricci,Luxury,15,12,1932,92,92,50 to 100 Years,1,Existing,63,2010,78
Oscar De La Renta,Luxury,18,18,1965,59,59,50 to 100 Years,1,Existing,64,2010,45
Pedro Garcia,Contemporary,15,15,1925,99,99,50 to 100 Years,1,Existing,65,2010,85
Philosophy Di Alberta Ferretti,Premium,18,7,2001,23,23,20 to 50 Years,1,Existing,66,2010,9
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,67,2010,19
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,68,2010,97
Proenza Schouler,Premium,16,16,1997,27,27,20 to 50 Years,1,Existing,69,2010,13
Rebecca Taylor,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,70,2010,14
Red Valentino,Contemporary,14,8,2003,21,21,20 to 50 Years,1,Existing,71,2010,7
Robert Clergerie,Premium,19,11,2007,17,17,10 to 20 Years,1,Existing,72,2010,3
Robert Rodriguez,Contemporary,18,12,2003,21,21,20 to 50 Years,1,Existing,73,2010,7
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,1,Existing,74,2010,83
Salvatore Ferragamo,Luxury,19,19,1927,97,97,50 to 100 Years,1,Existing,75,2010,83
See By Chloe,Contemporary,17,17,2001,23,23,20 to 50 Years,1,Existing,76,2010,9
Sergio Rossi,Premium,14,7,2008,16,16,10 to 20 Years,1,Existing,77,2010,2
Shoshanna,Contemporary,18,18,1998,26,26,20 to 50 Years,1,Existing,78,2010,12
Sigerson Morrison,Contemporary,17,5,1991,33,33,20 to 50 Years,1,Existing,79,2010,19
St. John,Contemporary,18,16,1962,62,62,50 to 100 Years,1,Existing,80,2010,48
Stella Mccartney,Premium,17,17,1970,54,54,50 to 100 Years,1,Existing,81,2010,40
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,82,2010,24
Temperley London,Premium,17,6,2008,16,16,10 to 20 Years,1,Existing,83,2010,2
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,84,2010,13
Tod's For Ferrari,Contemporary,19,1,1978,46,46,20 to 50 Years,1,Existing,49,2004,26
Tory Burch,Contemporary,17,17,2004,20,20,10 to 20 Years,1,Existing,86,2010,6
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,87,2010,50
Vera Wang,Contemporary,18,9,1990,34,34,20 to 50 Years,1,Existing,88,2010,20
Versace,Luxury,17,17,1978,46,46,20 to 50 Years,1,Existing,89,2010,32
Vince,Contemporary,19,19,2002,22,22,20 to 50 Years,1,Existing,90,2010,8
Vix,Contemporary,18,14,1998,26,26,20 to 50 Years,1,Existing,91,2010,12
Wolford,Contemporary,19,19,1950,74,74,50 to 100 Years,1,Existing,92,2010,60
Xcvi,Contemporary,15,15,1996,28,28,20 to 50 Years,1,Existing,93,2010,14
Yves Saint Laurent,Luxury,18,10,1961,63,63,50 to 100 Years,1,Existing,94,2010,49
Zac Posen,Premium,19,17,1998,26,26,20 to 50 Years,1,Existing,95,2010,12
3.1 Phillip Lim,Contemporary,16,16,2005,19,19,10 to 20 Years,1,Existing,1,2011,6
Adidas By Stella Mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,1,Existing,2,2011,6
Akris,Premium,16,16,2002,22,22,20 to 50 Years,1,Existing,3,2011,9
Akris Punto,Contemporary,16,16,1995,29,29,20 to 50 Years,1,Existing,4,2011,16
Alexander Mcqueen,Luxury,17,17,1992,32,32,20 to 50 Years,1,Existing,5,2011,19
Alice + Olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,1,Existing,6,2011,9
Andrew Gn,Premium,17,8,1956,68,68,50 to 100 Years,1,Existing,7,2011,55
Armani Collezioni,Luxury,19,14,1979,45,45,20 to 50 Years,1,Existing,8,2011,32
Blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,1,Existing,9,2011,34
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,10,2011,45
Brian Atwood,Premium,17,7,1951,73,73,50 to 100 Years,1,Existing,11,2011,60
Brunello Cucinelli,Luxury,13,13,1978,46,46,20 to 50 Years,1,Existing,12,2011,33
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,13,2011,155
Carolina Herrera,Luxury,16,16,1980,44,44,20 to 50 Years,1,Existing,14,2011,31
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,15,2011,59
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,16,2011,20
Current/Elliott,Contemporary,14,13,2008,16,16,10 to 20 Years,1,Existing,17,2011,3
Derek Lam,Premium,18,16,1978,46,46,20 to 50 Years,1,Existing,18,2011,33
Diane Von Furstenberg,Contemporary,15,15,1972,52,52,50 to 100 Years,1,Existing,19,2011,39
Dior,Luxury,18,9,1946,78,78,50 to 100 Years,1,Existing,20,2011,65
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,21,2011,26
Donna Karan,Contemporary,15,9,1984,40,40,20 to 50 Years,1,Existing,22,2011,27
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,23,2011,27
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,24,2011,37
Elizabeth And James,Contemporary,15,12,2007,17,17,10 to 20 Years,1,Existing,25,2011,4
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,26,2011,64
Erdem,Premium,13,13,1968,56,56,50 to 100 Years,1,Existing,27,2011,43
Escada,Premium,17,16,1922,102,102,100 to 200 Years,1,Existing,28,2011,89
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,1,Existing,29,2011,10
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,30,2011,43
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,31,2011,86
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,1,Existing,32,2011,8
Giorgio Armani,Luxury,17,17,1975,49,49,20 to 50 Years,1,Existing,33,2011,36
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,34,2011,17
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,1,Existing,35,2011,90
Halston Heritage,Contemporary,13,10,2009,15,15,10 to 20 Years,1,Existing,36,2011,2
Helmut Lang,Contemporary,13,13,1986,38,38,20 to 50 Years,1,Existing,37,2011,25
Herve Leger,Contemporary,13,13,1985,39,39,20 to 50 Years,1,Existing,38,2011,26
Hudson,Contemporary,14,14,2002,22,22,20 to 50 Years,1,Existing,39,2011,9
J Brand Jeans,Contemporary,16,8,2004,20,20,10 to 20 Years,1,Existing,40,2011,7
Jason Wu,Premium,13,11,2003,21,21,20 to 50 Years,1,Existing,41,2011,8
Jay Godfrey,Contemporary,15,9,2006,18,18,10 to 20 Years,1,Existing,42,2011,5
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,1,Existing,43,2011,29
Jil Sander,Premium,14,12,1998,26,26,20 to 50 Years,1,Existing,44,2011,13
Jimmy Choo,Luxury,16,16,1996,28,28,20 to 50 Years,1,Existing,45,2011,15
Johnny Was,Contemporary,15,15,1987,37,37,20 to 50 Years,1,Existing,46,2011,24
Judith Leiber,Premium,19,9,1963,61,178,50 to 100 Years,1,Existing,47,2011,48
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,1,Existing,48,2011,13
La Perla,Contemporary,18,18,1954,70,70,50 to 100 Years,1,Existing,49,2011,57
Lafayette 148 New York,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,50,2011,15
Lela Rose,Contemporary,16,16,1998,26,26,20 to 50 Years,1,Existing,51,2011,13
Loeffler Randall,Contemporary,17,15,2005,19,19,10 to 20 Years,1,Existing,52,2011,6
Loro Piana,Luxury,17,17,1924,100,100,50 to 100 Years,1,Existing,53,2011,87
M Missoni,Contemporary,18,16,1998,26,26,20 to 50 Years,1,Existing,54,2011,13
Mackage,Contemporary,13,7,1999,25,25,20 to 50 Years,1,Existing,55,2011,12
Magaschoni,Contemporary,15,9,1989,35,35,20 to 50 Years,1,Existing,56,2011,22
Manolo Blahnik,Luxury,19,19,1970,54,54,50 to 100 Years,1,Existing,57,2011,41
Marc By Marc Jacobs,Contemporary,17,10,2000,24,24,20 to 50 Years,1,Existing,58,2011,11
Marc Jacobs,Premium,19,18,1984,40,40,20 to 50 Years,1,Existing,59,2011,27
Michael Kors,Contemporary,19,12,1981,43,43,20 to 50 Years,1,Existing,60,2011,30
Milly,Contemporary,19,19,2001,23,23,20 to 50 Years,1,Existing,61,2011,10
Missoni,Luxury,18,18,1953,71,71,50 to 100 Years,1,Existing,62,2011,58
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,1,Existing,63,2011,18
Moncler,Luxury,13,13,1952,72,72,50 to 100 Years,1,Existing,64,2011,59
Nancy Gonzalez,Premium,18,17,2001,23,23,20 to 50 Years,1,Existing,65,2011,10
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,1,Existing,66,2011,73
Neiman Marcus,Contemporary,16,16,1907,117,117,100 to 200 Years,1,Existing,67,2011,104
Nicole Miller,Contemporary,18,13,1982,42,42,20 to 50 Years,1,Existing,68,2011,29
Nina Ricci,Luxury,15,12,1932,92,92,50 to 100 Years,1,Existing,69,2011,79
Not Your Daughter'S Jeans,Contemporary,13,3,2003,21,21,20 to 50 Years,1,Existing,70,2011,8
Oscar De La Renta,Luxury,18,18,1965,59,59,50 to 100 Years,1,Existing,71,2011,46
Parker,Contemporary,13,12,2008,16,16,10 to 20 Years,1,Existing,72,2011,3
Pedro Garcia,Contemporary,15,15,1925,99,99,50 to 100 Years,1,Existing,73,2011,86
Philosophy Di Alberta Ferretti,Premium,18,7,2001,23,23,20 to 50 Years,1,Existing,74,2011,10
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,75,2011,20
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,76,2011,98
Proenza Schouler,Premium,16,16,1997,27,27,20 to 50 Years,1,Existing,77,2011,14
Rebecca Taylor,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,78,2011,15
Red Valentino,Contemporary,14,8,2003,21,21,20 to 50 Years,1,Existing,79,2011,8
Rene Caovilla,Premium,18,15,2004,20,20,10 to 20 Years,1,Existing,80,2011,7
Rickie Freeman For Teri Jon,Contemporary,15,14,1979,45,45,20 to 50 Years,1,Existing,81,2011,32
Robert Clergerie,Premium,19,11,2007,17,17,10 to 20 Years,1,Existing,82,2011,4
Robert Rodriguez,Contemporary,18,12,2003,21,21,20 to 50 Years,1,Existing,83,2011,8
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,1,Existing,84,2011,84
Salvatore Ferragamo,Luxury,19,19,1927,97,97,50 to 100 Years,1,Existing,85,2011,84
See By Chloe,Contemporary,17,17,2001,23,23,20 to 50 Years,1,Existing,86,2011,10
Sergio Rossi,Premium,14,7,2008,16,16,10 to 20 Years,1,Existing,87,2011,3
Shoshanna,Contemporary,18,18,1998,26,26,20 to 50 Years,1,Existing,88,2011,13
St. John,Contemporary,18,16,1962,62,62,50 to 100 Years,1,Existing,89,2011,49
Stella Mccartney,Premium,17,17,1970,54,54,50 to 100 Years,1,Existing,90,2011,41
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,91,2011,25
Tadashi Shoji,Contemporary,13,12,1982,42,42,20 to 50 Years,1,Existing,92,2011,29
Temperley London,Premium,17,6,2008,16,16,10 to 20 Years,1,Existing,93,2011,3
Thakoon,Contemporary,15,5,2004,20,20,10 to 20 Years,1,Existing,94,2011,7
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,95,2011,14
Tibi,Contemporary,13,13,1997,27,27,20 to 50 Years,1,Existing,96,2011,14
Tory Burch,Contemporary,17,17,2004,20,20,10 to 20 Years,1,Existing,97,2011,7
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,98,2011,51
Vera Wang,Contemporary,18,9,1990,34,34,20 to 50 Years,1,Existing,99,2011,21
Versace,Luxury,17,17,1978,46,46,20 to 50 Years,1,Existing,100,2011,33
Vince,Contemporary,19,19,2002,22,22,20 to 50 Years,1,Existing,101,2011,9
What Goes Around Comes Around,Luxury,13,3,1993,31,31,20 to 50 Years,1,Existing,102,2011,18
Wolford,Contemporary,19,19,1950,74,74,50 to 100 Years,1,Existing,103,2011,61
Xcvi,Contemporary,15,15,1996,28,28,20 to 50 Years,1,Existing,104,2011,15
Yves Saint Laurent,Luxury,18,10,1961,63,63,50 to 100 Years,1,Existing,105,2011,50
Zac Posen,Premium,19,17,1998,26,26,20 to 50 Years,1,Existing,106,2011,13
3.1 Phillip Lim,Contemporary,16,16,2005,19,19,10 to 20 Years,1,Existing,1,2012,7
Adidas By Stella Mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,1,Existing,2,2012,7
Akris,Premium,16,16,2002,22,22,20 to 50 Years,1,Existing,3,2012,10
Akris Punto,Contemporary,16,16,1995,29,29,20 to 50 Years,1,Existing,4,2012,17
Alexander Mcqueen,Luxury,17,17,1992,32,32,20 to 50 Years,1,Existing,5,2012,20
Alexander Wang,Contemporary,12,10,2005,19,19,10 to 20 Years,1,Existing,6,2012,7
Alexandre Birman,Premium,12,11,2008,16,16,10 to 20 Years,1,Existing,7,2012,4
Alice + Olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,1,Existing,8,2012,10
Armani Collezioni,Luxury,19,14,1979,45,45,20 to 50 Years,1,Existing,9,2012,33
Badgley Mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,1,Existing,10,2012,24
Bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,1,Existing,11,2012,6
Balmain,Luxury,12,11,1945,79,79,50 to 100 Years,1,Existing,12,2012,67
Blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,1,Existing,13,2012,35
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,14,2012,46
Brian Atwood,Premium,17,7,1951,73,73,50 to 100 Years,1,Existing,15,2012,61
Brunello Cucinelli,Luxury,13,13,1978,46,46,20 to 50 Years,1,Existing,16,2012,34
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,17,2012,156
Carolina Herrera,Luxury,16,16,1980,44,44,20 to 50 Years,1,Existing,18,2012,32
Casadei,Premium,12,4,2009,15,15,10 to 20 Years,1,Existing,19,2012,3
Charlotte Olympia,Premium,12,6,2009,15,15,10 to 20 Years,1,Existing,20,2012,3
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,21,2012,60
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,22,2012,21
Current/Elliott,Contemporary,14,13,2008,16,16,10 to 20 Years,1,Existing,23,2012,4
Derek Lam,Premium,18,16,1978,46,46,20 to 50 Years,1,Existing,24,2012,34
Diane Von Furstenberg,Contemporary,15,15,1972,52,52,50 to 100 Years,1,Existing,25,2012,40
Dior,Luxury,18,9,1946,78,78,50 to 100 Years,1,Existing,26,2012,66
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,27,2012,27
Donna Karan,Contemporary,15,9,1984,40,40,20 to 50 Years,1,Existing,28,2012,28
Dsquared2,Contemporary,17,5,1995,29,29,20 to 50 Years,1,Existing,29,2012,17
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,30,2012,28
Elie Saab,Contemporary,12,9,1982,42,42,20 to 50 Years,1,Existing,31,2012,30
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,32,2012,38
Elizabeth And James,Contemporary,15,12,2007,17,17,10 to 20 Years,1,Existing,33,2012,5
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,34,2012,65
Equipment,Contemporary,12,12,1976,48,48,20 to 50 Years,1,Existing,35,2012,36
Erdem,Premium,13,13,1968,56,56,50 to 100 Years,1,Existing,36,2012,44
Escada,Premium,17,16,1922,102,102,100 to 200 Years,1,Existing,37,2012,90
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,1,Existing,38,2012,11
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,39,2012,44
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,40,2012,87
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,1,Existing,41,2012,9
Giambattista Valli,Luxury,12,7,2005,19,19,10 to 20 Years,1,Existing,42,2012,7
Giorgio Armani,Luxury,17,17,1975,49,49,20 to 50 Years,1,Existing,43,2012,37
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,44,2012,18
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,1,Existing,45,2012,91
Halston Heritage,Contemporary,13,10,2009,15,15,10 to 20 Years,1,Existing,46,2012,3
Helmut Lang,Contemporary,13,13,1986,38,38,20 to 50 Years,1,Existing,47,2012,26
Herve Leger,Contemporary,13,13,1985,39,39,20 to 50 Years,1,Existing,48,2012,27
Hudson,Contemporary,14,14,2002,22,22,20 to 50 Years,1,Existing,49,2012,10
Hunter Boot,Contemporary,12,6,1856,168,168,100 to 200 Years,1,Existing,50,2012,156
Issa London,Contemporary,15,4,2006,18,18,10 to 20 Years,1,Existing,51,2012,6
J Brand Jeans,Contemporary,16,8,2004,20,20,10 to 20 Years,1,Existing,52,2012,8
J. Mendel,Luxury,12,6,1870,154,154,100 to 200 Years,1,Existing,53,2012,142
Jason Wu,Premium,13,11,2003,21,21,20 to 50 Years,1,Existing,54,2012,9
Jay Godfrey,Contemporary,15,9,2006,18,18,10 to 20 Years,1,Existing,55,2012,6
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,1,Existing,56,2012,30
Jil Sander,Premium,14,12,1998,26,26,20 to 50 Years,1,Existing,57,2012,14
Jimmy Choo,Luxury,16,16,1996,28,28,20 to 50 Years,1,Existing,58,2012,16
Johnny Was,Contemporary,15,15,1987,37,37,20 to 50 Years,1,Existing,59,2012,25
Judith Leiber,Premium,19,9,1963,61,178,50 to 100 Years,1,Existing,60,2012,49
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,1,Existing,61,2012,14
Kotur,Contemporary,12,5,2004,20,20,10 to 20 Years,1,Existing,62,2012,8
La Perla,Contemporary,18,18,1954,70,70,50 to 100 Years,1,Existing,63,2012,58
Lafayette 148 New York,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,64,2012,16
Lanvin,Luxury,12,7,1889,135,135,100 to 200 Years,1,Existing,65,2012,123
Lela Rose,Contemporary,16,16,1998,26,26,20 to 50 Years,1,Existing,66,2012,14
Loeffler Randall,Contemporary,17,15,2005,19,19,10 to 20 Years,1,Existing,67,2012,7
Loro Piana,Luxury,17,17,1924,100,100,50 to 100 Years,1,Existing,68,2012,88
M Missoni,Contemporary,18,16,1998,26,26,20 to 50 Years,1,Existing,69,2012,14
Magaschoni,Contemporary,15,9,1989,35,35,20 to 50 Years,1,Existing,70,2012,23
Maison Martin Margiela,Luxury,12,4,1988,36,36,20 to 50 Years,1,Existing,71,2012,24
Manolo Blahnik,Luxury,19,19,1970,54,54,50 to 100 Years,1,Existing,72,2012,42
Marc By Marc Jacobs,Contemporary,17,10,2000,24,24,20 to 50 Years,1,Existing,73,2012,12
Marc Jacobs,Premium,19,18,1984,40,40,20 to 50 Years,1,Existing,74,2012,28
Marchesa Couture,Luxury,12,2,2004,20,20,10 to 20 Years,1,Existing,75,2012,8
Mary Katrantzou,Premium,12,7,1988,36,36,20 to 50 Years,1,Existing,76,2012,24
Mcq Alexander Mcqueen,Contemporary,12,10,2005,19,19,10 to 20 Years,1,Existing,77,2012,7
Michael Kors,Contemporary,19,12,1981,43,43,20 to 50 Years,1,Existing,78,2012,31
Michael Michael Kors,Contemporary,12,12,2004,20,20,10 to 20 Years,1,Existing,79,2012,8
Milly,Contemporary,19,19,2001,23,23,20 to 50 Years,1,Existing,80,2012,11
Missoni,Luxury,18,18,1953,71,71,50 to 100 Years,1,Existing,81,2012,59
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,1,Existing,82,2012,19
Ml Monique Lhuillier,Contemporary,12,11,1996,28,28,20 to 50 Years,1,Existing,83,2012,16
Moncler,Luxury,13,13,1952,72,72,50 to 100 Years,1,Existing,84,2012,60
Monique Lhuillier,Contemporary,12,12,1996,28,28,20 to 50 Years,1,Existing,85,2012,16
Mother Denim,Contemporary,12,4,2010,14,14,10 to 20 Years,1,Existing,86,2012,2
Mugler,Premium,12,4,1958,66,66,50 to 100 Years,1,Existing,87,2012,54
Naeem Khan,Premium,12,11,2008,16,16,10 to 20 Years,1,Existing,88,2012,4
Nancy Gonzalez,Premium,18,17,2001,23,23,20 to 50 Years,1,Existing,89,2012,11
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,1,Existing,90,2012,74
Neiman Marcus,Contemporary,16,16,1907,117,117,100 to 200 Years,1,Existing,91,2012,105
Nicholas Kirkwood,Contemporary,12,5,2005,19,19,10 to 20 Years,1,Existing,92,2012,7
Nicole Miller,Contemporary,18,13,1982,42,42,20 to 50 Years,1,Existing,93,2012,30
Nina Ricci,Luxury,15,12,1932,92,92,50 to 100 Years,1,Existing,94,2012,80
Not Your Daughter'S Jeans,Contemporary,13,3,2003,21,21,20 to 50 Years,1,Existing,95,2012,9
Oscar De La Renta,Luxury,18,18,1965,59,59,50 to 100 Years,1,Existing,96,2012,47
Pamella Roland,Contemporary,12,12,2002,22,22,20 to 50 Years,1,Existing,97,2012,10
Parker,Contemporary,13,12,2008,16,16,10 to 20 Years,1,Existing,98,2012,4
Pedro Garcia,Contemporary,15,15,1925,99,99,50 to 100 Years,1,Existing,99,2012,87
Philosophy Di Alberta Ferretti,Premium,18,7,2001,23,23,20 to 50 Years,1,Existing,100,2012,11
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,101,2012,21
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,102,2012,99
Proenza Schouler,Premium,16,16,1997,27,27,20 to 50 Years,1,Existing,103,2012,15
Rachel Zoe,Contemporary,12,9,2011,13,13,10 to 20 Years,1,Existing,104,2012,1
Rag & Bone,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,105,2012,10
Rag & Bone/Jean,Contemporary,12,6,2002,22,22,20 to 50 Years,1,Existing,106,2012,10
Rebecca Taylor,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,107,2012,16
Red Valentino,Contemporary,14,8,2003,21,21,20 to 50 Years,1,Existing,108,2012,9
Rene Caovilla,Premium,18,15,2004,20,20,10 to 20 Years,1,Existing,109,2012,8
Rick Owens,Premium,12,5,2014,10,10,5 to 10 Years,1,Existing,110,2012,-2
Rickie Freeman For Teri Jon,Contemporary,15,14,1979,45,45,20 to 50 Years,1,Existing,111,2012,33
Robert Clergerie,Premium,19,11,2007,17,17,10 to 20 Years,1,Existing,112,2012,5
Robert Rodriguez,Contemporary,18,12,2003,21,21,20 to 50 Years,1,Existing,113,2012,9
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,1,Existing,114,2012,85
Rochas,Premium,12,2,2003,21,21,20 to 50 Years,1,Existing,115,2012,9
Roland Mouret,Premium,12,12,1981,43,43,20 to 50 Years,1,Existing,116,2012,31
Salvatore Ferragamo,Luxury,19,19,1927,97,97,50 to 100 Years,1,Existing,117,2012,85
See By Chloe,Contemporary,17,17,2001,23,23,20 to 50 Years,1,Existing,118,2012,11
Sergio Rossi,Premium,14,7,2008,16,16,10 to 20 Years,1,Existing,119,2012,4
Shoshanna,Contemporary,18,18,1998,26,26,20 to 50 Years,1,Existing,120,2012,14
Smythe,Contemporary,12,11,2004,20,20,10 to 20 Years,1,Existing,121,2012,8
St. John,Contemporary,18,16,1962,62,62,50 to 100 Years,1,Existing,122,2012,50
Stella Mccartney,Premium,17,17,1970,54,54,50 to 100 Years,1,Existing,123,2012,42
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,124,2012,26
T By Alexander Wang,Contemporary,12,8,2009,15,15,10 to 20 Years,1,Existing,125,2012,3
Tadashi Shoji,Contemporary,13,12,1982,42,42,20 to 50 Years,1,Existing,126,2012,30
Thakoon,Contemporary,15,5,2004,20,20,10 to 20 Years,1,Existing,127,2012,8
Thakoon Addition,Contemporary,12,5,2012,12,12,10 to 20 Years,1,Existing,128,2012,0
Theia,Contemporary,12,12,2009,15,15,10 to 20 Years,1,Existing,129,2012,3
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,130,2012,15
Theyskens' Theory,Contemporary,12,4,1997,27,27,20 to 50 Years,1,Existing,131,2012,15
Tibi,Contemporary,13,13,1997,27,27,20 to 50 Years,1,Existing,132,2012,15
Tory Burch,Contemporary,17,17,2004,20,20,10 to 20 Years,1,Existing,133,2012,8
Tracy Reese,Contemporary,18,10,1998,26,26,20 to 50 Years,1,Existing,134,2012,14
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,135,2012,52
Vera Wang,Contemporary,18,9,1990,34,34,20 to 50 Years,1,Existing,136,2012,22
Versace,Luxury,17,17,1978,46,46,20 to 50 Years,1,Existing,137,2012,34
Vince,Contemporary,19,19,2002,22,22,20 to 50 Years,1,Existing,138,2012,10
What Goes Around Comes Around,Luxury,13,3,1993,31,31,20 to 50 Years,1,Existing,139,2012,19
Wolford,Contemporary,19,19,1950,74,74,50 to 100 Years,1,Existing,140,2012,62
Xcvi,Contemporary,15,15,1996,28,28,20 to 50 Years,1,Existing,141,2012,16
Yves Saint Laurent,Luxury,18,10,1961,63,63,50 to 100 Years,1,Existing,142,2012,51
Zac Posen,Premium,19,17,1998,26,26,20 to 50 Years,1,Existing,143,2012,14
10 Crosby Derek Lam,Contemporary,11,3,2011,13,13,10 to 20 Years,1,Existing,1,2013,2
3.1 Phillip Lim,Contemporary,16,16,2005,19,19,10 to 20 Years,1,Existing,2,2013,8
Akris,Premium,16,16,2002,22,22,20 to 50 Years,1,Existing,3,2013,11
Akris Punto,Contemporary,16,16,1995,29,29,20 to 50 Years,1,Existing,4,2013,18
Alexander Mcqueen,Luxury,17,17,1992,32,32,20 to 50 Years,1,Existing,5,2013,21
Alexander Wang,Contemporary,12,10,2005,19,19,10 to 20 Years,1,Existing,6,2013,8
Alexandre Birman,Premium,12,11,2008,16,16,10 to 20 Years,1,Existing,7,2013,5
Alice + Olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,1,Existing,8,2013,11
Altuzarra,Premium,11,11,1994,30,30,20 to 50 Years,1,Existing,9,2013,19
Amanda Uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,1,Existing,10,2013,10
Armani Collezioni,Luxury,19,14,1979,45,45,20 to 50 Years,1,Existing,11,2013,34
Badgley Mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,1,Existing,12,2013,25
Bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,1,Existing,13,2013,7
Balenciaga,Luxury,11,11,1917,107,107,100 to 200 Years,1,Existing,14,2013,96
Black Halo,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,15,2013,11
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,16,2013,47
Brian Atwood,Premium,17,7,1951,73,73,50 to 100 Years,1,Existing,17,2013,62
Brunello Cucinelli,Luxury,13,13,1978,46,46,20 to 50 Years,1,Existing,18,2013,35
