Designer,Category,Num of Years Since 1st Listed,Num of Years Listed,Founding Year,Age,Age (copy),Age Group,Listed?,Status,Rank,Year,Relative Age,Relative Age Group
Derek Lam,Premium,18,16,1978,46,46,20 to 50 Years,1,Existing,17,2009,31,5 to 10 Years
Diane Von Furstenberg,Contemporary,15,15,1972,52,52,50 to 100 Years,1,Existing,18,2009,37,5 to 10 Years
Dior,Luxury,18,9,1946,78,78,50 to 100 Years,1,Existing,19,2009,63,5 to 10 Years
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,20,2009,24,5 to 10 Years
Donna Karan,Contemporary,15,9,1984,40,40,20 to 50 Years,1,Existing,21,2009,25,5 to 10 Years
Donna Karan Collection,Premium,19,6,2000,24,24,20 to 50 Years,1,Existing,22,2009,9,5 to 10 Years
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,23,2009,25,5 to 10 Years
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,24,2009,35,5 to 10 Years
Elizabeth And James,Contemporary,15,12,2007,17,17,10 to 20 Years,1,Existing,25,2009,2,5 to 10 Years
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,26,2009,62,5 to 10 Years
Escada,Premium,17,16,1922,102,102,100 to 200 Years,1,Existing,27,2009,87,5 to 10 Years
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,1,Existing,28,2009,8,5 to 10 Years
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,29,2009,41,5 to 10 Years
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,30,2009,84,5 to 10 Years
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,1,Existing,31,2009,6,5 to 10 Years
Giorgio Armani,Luxury,17,17,1975,49,49,20 to 50 Years,1,Existing,32,2009,34,5 to 10 Years
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,33,2009,15,5 to 10 Years
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,1,Existing,34,2009,88,5 to 10 Years
Issa London,Contemporary,15,4,2006,18,18,10 to 20 Years,1,Existing,35,2009,3,5 to 10 Years
J Brand Jeans,Contemporary,16,8,2004,20,20,10 to 20 Years,1,Existing,36,2009,5,5 to 10 Years
Jay Godfrey,Contemporary,15,9,2006,18,18,10 to 20 Years,1,Existing,37,2009,3,5 to 10 Years
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,1,Existing,38,2009,27,5 to 10 Years
Jimmy Choo,Luxury,16,16,1996,28,28,20 to 50 Years,1,Existing,39,2009,13,5 to 10 Years
Johnny Was,Contemporary,15,15,1987,37,37,20 to 50 Years,1,Existing,40,2009,22,5 to 10 Years
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,1,Existing,41,2009,11,5 to 10 Years
Kate Spade,Contemporary,19,7,1993,31,31,20 to 50 Years,1,Existing,42,2009,16,5 to 10 Years
La Perla,Contemporary,18,18,1954,70,70,50 to 100 Years,1,Existing,43,2009,55,5 to 10 Years
Lafayette 148 New York,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,44,2009,13,5 to 10 Years
Lela Rose,Contemporary,16,16,1998,26,26,20 to 50 Years,1,Existing,45,2009,11,5 to 10 Years
Loeffler Randall,Contemporary,17,15,2005,19,19,10 to 20 Years,1,Existing,46,2009,4,5 to 10 Years
Loro Piana,Luxury,17,17,1924,100,100,50 to 100 Years,1,Existing,47,2009,85,5 to 10 Years
M Missoni,Contemporary,18,16,1998,26,26,20 to 50 Years,1,Existing,48,2009,11,5 to 10 Years
Magaschoni,Contemporary,15,9,1989,35,35,20 to 50 Years,1,Existing,49,2009,20,5 to 10 Years
Manolo Blahnik,Luxury,19,19,1970,54,54,50 to 100 Years,1,Existing,50,2009,39,5 to 10 Years
Marc By Marc Jacobs,Contemporary,17,10,2000,24,24,20 to 50 Years,1,Existing,51,2009,9,5 to 10 Years
Marc Jacobs,Premium,19,18,1984,40,40,20 to 50 Years,1,Existing,52,2009,25,5 to 10 Years
Michael Kors,Contemporary,19,12,1981,43,43,20 to 50 Years,1,Existing,53,2009,28,5 to 10 Years
Milly,Contemporary,19,19,2001,23,23,20 to 50 Years,1,Existing,54,2009,8,5 to 10 Years
Missoni,Luxury,18,18,1953,71,71,50 to 100 Years,1,Existing,55,2009,56,5 to 10 Years
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,1,Existing,56,2009,16,5 to 10 Years
Moschino Cheap & Chic,Contemporary,19,7,1988,36,36,20 to 50 Years,1,Existing,57,2009,21,5 to 10 Years
Nancy Gonzalez,Premium,18,17,2001,23,23,20 to 50 Years,1,Existing,58,2009,8,5 to 10 Years
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,1,Existing,59,2009,71,5 to 10 Years
Neiman Marcus,Contemporary,16,16,1907,117,117,100 to 200 Years,1,Existing,60,2009,102,5 to 10 Years
Nicole Miller,Contemporary,18,13,1982,42,42,20 to 50 Years,1,Existing,61,2009,27,5 to 10 Years
Nina Ricci,Luxury,15,12,1932,92,92,50 to 100 Years,1,Existing,62,2009,77,5 to 10 Years
Oscar De La Renta,Luxury,18,18,1965,59,59,50 to 100 Years,1,Existing,63,2009,44,5 to 10 Years
Pedro Garcia,Contemporary,15,15,1925,99,99,50 to 100 Years,1,Existing,64,2009,84,5 to 10 Years
Philosophy Di Alberta Ferretti,Premium,18,7,2001,23,23,20 to 50 Years,1,Existing,65,2009,8,5 to 10 Years
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,66,2009,18,5 to 10 Years
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,67,2009,96,5 to 10 Years
Pringle Of Scotland,Premium,15,3,2012,12,12,10 to 20 Years,1,Existing,68,2009,-3,Over 200 Years
Proenza Schouler,Premium,16,16,1997,27,27,20 to 50 Years,1,Existing,69,2009,12,5 to 10 Years
Rag & Bone,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,70,2009,7,5 to 10 Years
Rebecca Taylor,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,71,2009,13,5 to 10 Years
Robert Clergerie,Premium,19,11,2007,17,17,10 to 20 Years,1,Existing,72,2009,2,5 to 10 Years
Robert Rodriguez,Contemporary,18,12,2003,21,21,20 to 50 Years,1,Existing,73,2009,6,5 to 10 Years
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,1,Existing,74,2009,82,5 to 10 Years
Salvatore Ferragamo,Luxury,19,19,1927,97,97,50 to 100 Years,1,Existing,75,2009,82,5 to 10 Years
See By Chloe,Contemporary,17,17,2001,23,23,20 to 50 Years,1,Existing,76,2009,8,5 to 10 Years
Shoshanna,Contemporary,18,18,1998,26,26,20 to 50 Years,1,Existing,77,2009,11,5 to 10 Years
Sigerson Morrison,Contemporary,17,5,1991,33,33,20 to 50 Years,1,Existing,78,2009,18,5 to 10 Years
St. John,Contemporary,18,16,1962,62,62,50 to 100 Years,1,Existing,79,2009,47,5 to 10 Years
Stella Mccartney,Premium,17,17,1970,54,54,50 to 100 Years,1,Existing,80,2009,39,5 to 10 Years
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,81,2009,23,5 to 10 Years
Temperley London,Premium,17,6,2008,16,16,10 to 20 Years,1,Existing,82,2009,1,5 to 10 Years
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,83,2009,12,5 to 10 Years
Tory Burch,Contemporary,17,17,2004,20,20,10 to 20 Years,1,Existing,85,2009,5,5 to 10 Years
Tracy Reese,Contemporary,18,10,1998,26,26,20 to 50 Years,1,Existing,86,2009,11,5 to 10 Years
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,87,2009,49,5 to 10 Years
Vera Wang,Contemporary,18,9,1990,34,34,20 to 50 Years,1,Existing,88,2009,19,5 to 10 Years
Versace,Luxury,17,17,1978,46,46,20 to 50 Years,1,Existing,89,2009,31,5 to 10 Years
Vince,Contemporary,19,19,2002,22,22,20 to 50 Years,1,Existing,90,2009,7,5 to 10 Years
Vix,Contemporary,18,14,1998,26,26,20 to 50 Years,1,Existing,91,2009,11,5 to 10 Years
Wolford,Contemporary,19,19,1950,74,74,50 to 100 Years,1,Existing,92,2009,59,5 to 10 Years
Xcvi,Contemporary,15,15,1996,28,28,20 to 50 Years,1,Existing,93,2009,13,5 to 10 Years
Yves Saint Laurent,Luxury,18,10,1961,63,63,50 to 100 Years,1,Existing,94,2009,48,5 to 10 Years
Zac Posen,Premium,19,17,1998,26,26,20 to 50 Years,1,Existing,95,2009,11,5 to 10 Years
3.1 Phillip Lim,Contemporary,16,16,2005,19,19,10 to 20 Years,1,Existing,1,2010,5,5 to 10 Years
Akris,Premium,16,16,2002,22,22,20 to 50 Years,1,Existing,2,2010,8,5 to 10 Years
Akris Punto,Contemporary,16,16,1995,29,29,20 to 50 Years,1,Existing,3,2010,15,5 to 10 Years
Alberta Ferretti,Luxury,19,8,1980,44,44,20 to 50 Years,1,Existing,4,2010,30,5 to 10 Years
Alexander Mcqueen,Luxury,17,17,1992,32,32,20 to 50 Years,1,Existing,5,2010,18,5 to 10 Years
Alice + Olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,1,Existing,6,2010,8,5 to 10 Years
Andrew Gn,Premium,17,8,1956,68,68,50 to 100 Years,1,Existing,7,2010,54,5 to 10 Years
Armani Collezioni,Luxury,19,14,1979,45,45,20 to 50 Years,1,Existing,8,2010,31,5 to 10 Years
Black Halo,Contemporary,15,14,2002,22,22,20 to 50 Years,1,Existing,9,2010,8,5 to 10 Years
Blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,1,Existing,10,2010,33,5 to 10 Years
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,11,2010,44,5 to 10 Years
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,12,2010,154,5 to 10 Years
Carolina Herrera,Luxury,16,16,1980,44,44,20 to 50 Years,1,Existing,13,2010,30,5 to 10 Years
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,14,2010,58,5 to 10 Years
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,15,2010,19,5 to 10 Years
Current/Elliott,Contemporary,14,13,2008,16,16,10 to 20 Years,1,Existing,16,2010,2,5 to 10 Years
Derek Lam,Premium,18,16,1978,46,46,20 to 50 Years,1,Existing,17,2010,32,5 to 10 Years
Diane Von Furstenberg,Contemporary,15,15,1972,52,52,50 to 100 Years,1,Existing,18,2010,38,5 to 10 Years
Dior,Luxury,18,9,1946,78,78,50 to 100 Years,1,Existing,19,2010,64,5 to 10 Years
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,20,2010,25,5 to 10 Years
Donna Karan,Contemporary,15,9,1984,40,40,20 to 50 Years,1,Existing,21,2010,26,5 to 10 Years
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,22,2010,26,5 to 10 Years
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,23,2010,36,5 to 10 Years
Elizabeth And James,Contemporary,15,12,2007,17,17,10 to 20 Years,1,Existing,24,2010,3,5 to 10 Years
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,25,2010,63,5 to 10 Years
Escada,Premium,17,16,1922,102,102,100 to 200 Years,1,Existing,26,2010,88,5 to 10 Years
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,1,Existing,27,2010,9,5 to 10 Years
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,28,2010,42,5 to 10 Years
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,29,2010,85,5 to 10 Years
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,1,Existing,30,2010,7,5 to 10 Years
Giorgio Armani,Luxury,17,17,1975,49,49,20 to 50 Years,1,Existing,31,2010,35,5 to 10 Years
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,32,2010,16,5 to 10 Years
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,1,Existing,33,2010,89,5 to 10 Years
Hudson,Contemporary,14,14,2002,22,22,20 to 50 Years,1,Existing,34,2010,8,5 to 10 Years
J Brand Jeans,Contemporary,16,8,2004,20,20,10 to 20 Years,1,Existing,35,2010,6,5 to 10 Years
Jay Godfrey,Contemporary,15,9,2006,18,18,10 to 20 Years,1,Existing,36,2010,4,5 to 10 Years
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,1,Existing,37,2010,28,5 to 10 Years
Jil Sander,Premium,14,12,1998,26,26,20 to 50 Years,1,Existing,38,2010,12,5 to 10 Years
Jimmy Choo,Luxury,16,16,1996,28,28,20 to 50 Years,1,Existing,39,2010,14,5 to 10 Years
Johnny Was,Contemporary,15,15,1987,37,37,20 to 50 Years,1,Existing,40,2010,23,5 to 10 Years
Judith Leiber,Premium,19,9,1963,61,178,50 to 100 Years,1,Existing,41,2010,47,5 to 10 Years
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,1,Existing,42,2010,12,5 to 10 Years
Kate Spade,Contemporary,19,7,1993,31,31,20 to 50 Years,1,Existing,43,2010,17,5 to 10 Years
La Perla,Contemporary,18,18,1954,70,70,50 to 100 Years,1,Existing,44,2010,56,5 to 10 Years
Lafayette 148 New York,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,45,2010,14,5 to 10 Years
Lela Rose,Contemporary,16,16,1998,26,26,20 to 50 Years,1,Existing,46,2010,12,5 to 10 Years
Loeffler Randall,Contemporary,17,15,2005,19,19,10 to 20 Years,1,Existing,47,2010,5,5 to 10 Years
Loro Piana,Luxury,17,17,1924,100,100,50 to 100 Years,1,Existing,48,2010,86,5 to 10 Years
M Missoni,Contemporary,18,16,1998,26,26,20 to 50 Years,1,Existing,49,2010,12,5 to 10 Years
Magaschoni,Contemporary,15,9,1989,35,35,20 to 50 Years,1,Existing,50,2010,21,5 to 10 Years
Manolo Blahnik,Luxury,19,19,1970,54,54,50 to 100 Years,1,Existing,51,2010,40,5 to 10 Years
Marc By Marc Jacobs,Contemporary,17,10,2000,24,24,20 to 50 Years,1,Existing,52,2010,10,5 to 10 Years
Marc Jacobs,Premium,19,18,1984,40,40,20 to 50 Years,1,Existing,53,2010,26,5 to 10 Years
Marchesa,Premium,17,13,2005,19,19,10 to 20 Years,1,Existing,54,2010,5,5 to 10 Years
Michael Kors,Contemporary,19,12,1981,43,43,20 to 50 Years,1,Existing,55,2010,29,5 to 10 Years
Milly,Contemporary,19,19,2001,23,23,20 to 50 Years,1,Existing,56,2010,9,5 to 10 Years
Missoni,Luxury,18,18,1953,71,71,50 to 100 Years,1,Existing,57,2010,57,5 to 10 Years
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,1,Existing,58,2010,17,5 to 10 Years
Nancy Gonzalez,Premium,18,17,2001,23,23,20 to 50 Years,1,Existing,59,2010,9,5 to 10 Years
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,1,Existing,60,2010,72,5 to 10 Years
Neiman Marcus,Contemporary,16,16,1907,117,117,100 to 200 Years,1,Existing,61,2010,103,5 to 10 Years
Nicole Miller,Contemporary,18,13,1982,42,42,20 to 50 Years,1,Existing,62,2010,28,5 to 10 Years
Nina Ricci,Luxury,15,12,1932,92,92,50 to 100 Years,1,Existing,63,2010,78,5 to 10 Years
Oscar De La Renta,Luxury,18,18,1965,59,59,50 to 100 Years,1,Existing,64,2010,45,5 to 10 Years
Pedro Garcia,Contemporary,15,15,1925,99,99,50 to 100 Years,1,Existing,65,2010,85,5 to 10 Years
Philosophy Di Alberta Ferretti,Premium,18,7,2001,23,23,20 to 50 Years,1,Existing,66,2010,9,5 to 10 Years
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,67,2010,19,5 to 10 Years
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,68,2010,97,5 to 10 Years
Proenza Schouler,Premium,16,16,1997,27,27,20 to 50 Years,1,Existing,69,2010,13,5 to 10 Years
Rebecca Taylor,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,70,2010,14,5 to 10 Years
Red Valentino,Contemporary,14,8,2003,21,21,20 to 50 Years,1,Existing,71,2010,7,5 to 10 Years
Robert Clergerie,Premium,19,11,2007,17,17,10 to 20 Years,1,Existing,72,2010,3,5 to 10 Years
Robert Rodriguez,Contemporary,18,12,2003,21,21,20 to 50 Years,1,Existing,73,2010,7,5 to 10 Years
Roberto Cavalli,Premium,19,16,1927,97,97,50 to 100 Years,1,Existing,74,2010,83,5 to 10 Years
Salvatore Ferragamo,Luxury,19,19,1927,97,97,50 to 100 Years,1,Existing,75,2010,83,5 to 10 Years
See By Chloe,Contemporary,17,17,2001,23,23,20 to 50 Years,1,Existing,76,2010,9,5 to 10 Years
Sergio Rossi,Premium,14,7,2008,16,16,10 to 20 Years,1,Existing,77,2010,2,5 to 10 Years
Shoshanna,Contemporary,18,18,1998,26,26,20 to 50 Years,1,Existing,78,2010,12,5 to 10 Years
Sigerson Morrison,Contemporary,17,5,1991,33,33,20 to 50 Years,1,Existing,79,2010,19,5 to 10 Years
St. John,Contemporary,18,16,1962,62,62,50 to 100 Years,1,Existing,80,2010,48,5 to 10 Years
Stella Mccartney,Premium,17,17,1970,54,54,50 to 100 Years,1,Existing,81,2010,40,5 to 10 Years
Stuart Weitzman,Contemporary,19,19,1986,38,38,20 to 50 Years,1,Existing,82,2010,24,5 to 10 Years
Temperley London,Premium,17,6,2008,16,16,10 to 20 Years,1,Existing,83,2010,2,5 to 10 Years
Theory,Contemporary,19,19,1997,27,27,20 to 50 Years,1,Existing,84,2010,13,5 to 10 Years
Tod's For Ferrari,Contemporary,19,1,1978,46,46,20 to 50 Years,1,Existing,49,2004,26,5 to 10 Years
Tory Burch,Contemporary,17,17,2004,20,20,10 to 20 Years,1,Existing,86,2010,6,5 to 10 Years
Valentino,Luxury,19,19,1960,64,64,50 to 100 Years,1,Existing,87,2010,50,5 to 10 Years
Vera Wang,Contemporary,18,9,1990,34,34,20 to 50 Years,1,Existing,88,2010,20,5 to 10 Years
Versace,Luxury,17,17,1978,46,46,20 to 50 Years,1,Existing,89,2010,32,5 to 10 Years
Vince,Contemporary,19,19,2002,22,22,20 to 50 Years,1,Existing,90,2010,8,5 to 10 Years
Vix,Contemporary,18,14,1998,26,26,20 to 50 Years,1,Existing,91,2010,12,5 to 10 Years
Wolford,Contemporary,19,19,1950,74,74,50 to 100 Years,1,Existing,92,2010,60,5 to 10 Years
Xcvi,Contemporary,15,15,1996,28,28,20 to 50 Years,1,Existing,93,2010,14,5 to 10 Years
Yves Saint Laurent,Luxury,18,10,1961,63,63,50 to 100 Years,1,Existing,94,2010,49,5 to 10 Years
Zac Posen,Premium,19,17,1998,26,26,20 to 50 Years,1,Existing,95,2010,12,5 to 10 Years
3.1 Phillip Lim,Contemporary,16,16,2005,19,19,10 to 20 Years,1,Existing,1,2011,6,5 to 10 Years
Adidas By Stella Mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,1,Existing,2,2011,6,5 to 10 Years
Akris,Premium,16,16,2002,22,22,20 to 50 Years,1,Existing,3,2011,9,5 to 10 Years
Akris Punto,Contemporary,16,16,1995,29,29,20 to 50 Years,1,Existing,4,2011,16,5 to 10 Years
Alexander Mcqueen,Luxury,17,17,1992,32,32,20 to 50 Years,1,Existing,5,2011,19,5 to 10 Years
Alice + Olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,1,Existing,6,2011,9,5 to 10 Years
Andrew Gn,Premium,17,8,1956,68,68,50 to 100 Years,1,Existing,7,2011,55,5 to 10 Years
Armani Collezioni,Luxury,19,14,1979,45,45,20 to 50 Years,1,Existing,8,2011,32,5 to 10 Years
Blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,1,Existing,9,2011,34,5 to 10 Years
Bottega Veneta,Luxury,19,19,1966,58,58,50 to 100 Years,1,Existing,10,2011,45,5 to 10 Years
Brian Atwood,Premium,17,7,1951,73,73,50 to 100 Years,1,Existing,11,2011,60,5 to 10 Years
Brunello Cucinelli,Luxury,13,13,1978,46,46,20 to 50 Years,1,Existing,12,2011,33,5 to 10 Years
Burberry,Luxury,19,19,1856,168,168,100 to 200 Years,1,Existing,13,2011,155,5 to 10 Years
Carolina Herrera,Luxury,16,16,1980,44,44,20 to 50 Years,1,Existing,14,2011,31,5 to 10 Years
Chloe,Luxury,19,19,1952,72,72,50 to 100 Years,1,Existing,15,2011,59,5 to 10 Years
Christian Louboutin,Luxury,19,19,1991,33,33,20 to 50 Years,1,Existing,16,2011,20,5 to 10 Years
Current/Elliott,Contemporary,14,13,2008,16,16,10 to 20 Years,1,Existing,17,2011,3,5 to 10 Years
Derek Lam,Premium,18,16,1978,46,46,20 to 50 Years,1,Existing,18,2011,33,5 to 10 Years
Diane Von Furstenberg,Contemporary,15,15,1972,52,52,50 to 100 Years,1,Existing,19,2011,39,5 to 10 Years
Dior,Luxury,18,9,1946,78,78,50 to 100 Years,1,Existing,20,2011,65,5 to 10 Years
Dolce & Gabbana,Luxury,19,19,1985,39,39,20 to 50 Years,1,Existing,21,2011,26,5 to 10 Years
Donna Karan,Contemporary,15,9,1984,40,40,20 to 50 Years,1,Existing,22,2011,27,5 to 10 Years
Eileen Fisher,Contemporary,19,19,1984,40,40,20 to 50 Years,1,Existing,23,2011,27,5 to 10 Years
Elie Tahari,Contemporary,19,18,1974,50,50,20 to 50 Years,1,Existing,24,2011,37,5 to 10 Years
Elizabeth And James,Contemporary,15,12,2007,17,17,10 to 20 Years,1,Existing,25,2011,4,5 to 10 Years
Emilio Pucci,Luxury,19,19,1947,77,77,50 to 100 Years,1,Existing,26,2011,64,5 to 10 Years
Erdem,Premium,13,13,1968,56,56,50 to 100 Years,1,Existing,27,2011,43,5 to 10 Years
Escada,Premium,17,16,1922,102,102,100 to 200 Years,1,Existing,28,2011,89,5 to 10 Years
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,1,Existing,29,2011,10,5 to 10 Years
Etro,Luxury,19,19,1968,56,56,50 to 100 Years,1,Existing,30,2011,43,5 to 10 Years
Fendi,Luxury,19,19,1925,99,99,50 to 100 Years,1,Existing,31,2011,86,5 to 10 Years
Ferragamo,Premium,19,16,2003,21,21,20 to 50 Years,1,Existing,32,2011,8,5 to 10 Years
Giorgio Armani,Luxury,17,17,1975,49,49,20 to 50 Years,1,Existing,33,2011,36,5 to 10 Years
Giuseppe Zanotti,Premium,19,19,1994,30,30,20 to 50 Years,1,Existing,34,2011,17,5 to 10 Years
Gucci,Luxury,19,18,1921,103,103,100 to 200 Years,1,Existing,35,2011,90,5 to 10 Years
Halston Heritage,Contemporary,13,10,2009,15,15,10 to 20 Years,1,Existing,36,2011,2,5 to 10 Years
Helmut Lang,Contemporary,13,13,1986,38,38,20 to 50 Years,1,Existing,37,2011,25,5 to 10 Years
Herve Leger,Contemporary,13,13,1985,39,39,20 to 50 Years,1,Existing,38,2011,26,5 to 10 Years
Hudson,Contemporary,14,14,2002,22,22,20 to 50 Years,1,Existing,39,2011,9,5 to 10 Years
J Brand Jeans,Contemporary,16,8,2004,20,20,10 to 20 Years,1,Existing,40,2011,7,5 to 10 Years
Jason Wu,Premium,13,11,2003,21,21,20 to 50 Years,1,Existing,41,2011,8,5 to 10 Years
Jay Godfrey,Contemporary,15,9,2006,18,18,10 to 20 Years,1,Existing,42,2011,5,5 to 10 Years
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,1,Existing,43,2011,29,5 to 10 Years
Jil Sander,Premium,14,12,1998,26,26,20 to 50 Years,1,Existing,44,2011,13,5 to 10 Years
Jimmy Choo,Luxury,16,16,1996,28,28,20 to 50 Years,1,Existing,45,2011,15,5 to 10 Years
Johnny Was,Contemporary,15,15,1987,37,37,20 to 50 Years,1,Existing,46,2011,24,5 to 10 Years
Judith Leiber,Premium,19,9,1963,61,178,50 to 100 Years,1,Existing,47,2011,48,5 to 10 Years
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,1,Existing,48,2011,13,5 to 10 Years
La Perla,Contemporary,18,18,1954,70,70,50 to 100 Years,1,Existing,49,2011,57,5 to 10 Years
Lafayette 148 New York,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,50,2011,15,5 to 10 Years
Lela Rose,Contemporary,16,16,1998,26,26,20 to 50 Years,1,Existing,51,2011,13,5 to 10 Years
Loeffler Randall,Contemporary,17,15,2005,19,19,10 to 20 Years,1,Existing,52,2011,6,5 to 10 Years
Loro Piana,Luxury,17,17,1924,100,100,50 to 100 Years,1,Existing,53,2011,87,5 to 10 Years
M Missoni,Contemporary,18,16,1998,26,26,20 to 50 Years,1,Existing,54,2011,13,5 to 10 Years
Mackage,Contemporary,13,7,1999,25,25,20 to 50 Years,1,Existing,55,2011,12,5 to 10 Years
Magaschoni,Contemporary,15,9,1989,35,35,20 to 50 Years,1,Existing,56,2011,22,5 to 10 Years
Manolo Blahnik,Luxury,19,19,1970,54,54,50 to 100 Years,1,Existing,57,2011,41,5 to 10 Years
Marc By Marc Jacobs,Contemporary,17,10,2000,24,24,20 to 50 Years,1,Existing,58,2011,11,5 to 10 Years
Marc Jacobs,Premium,19,18,1984,40,40,20 to 50 Years,1,Existing,59,2011,27,5 to 10 Years
Michael Kors,Contemporary,19,12,1981,43,43,20 to 50 Years,1,Existing,60,2011,30,5 to 10 Years
Milly,Contemporary,19,19,2001,23,23,20 to 50 Years,1,Existing,61,2011,10,5 to 10 Years
Missoni,Luxury,18,18,1953,71,71,50 to 100 Years,1,Existing,62,2011,58,5 to 10 Years
Miu Miu,Premium,19,18,1993,31,31,20 to 50 Years,1,Existing,63,2011,18,5 to 10 Years
Moncler,Luxury,13,13,1952,72,72,50 to 100 Years,1,Existing,64,2011,59,5 to 10 Years
Nancy Gonzalez,Premium,18,17,2001,23,23,20 to 50 Years,1,Existing,65,2011,10,5 to 10 Years
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,1,Existing,66,2011,73,5 to 10 Years
Neiman Marcus,Contemporary,16,16,1907,117,117,100 to 200 Years,1,Existing,67,2011,104,5 to 10 Years
Nicole Miller,Contemporary,18,13,1982,42,42,20 to 50 Years,1,Existing,68,2011,29,5 to 10 Years
Nina Ricci,Luxury,15,12,1932,92,92,50 to 100 Years,1,Existing,69,2011,79,5 to 10 Years
Not Your Daughter'S Jeans,Contemporary,13,3,2003,21,21,20 to 50 Years,1,Existing,70,2011,8,5 to 10 Years
Oscar De La Renta,Luxury,18,18,1965,59,59,50 to 100 Years,1,Existing,71,2011,46,5 to 10 Years
Parker,Contemporary,13,12,2008,16,16,10 to 20 Years,1,Existing,72,2011,3,5 to 10 Years
Pedro Garcia,Contemporary,15,15,1925,99,99,50 to 100 Years,1,Existing,73,2011,86,5 to 10 Years
Philosophy Di Alberta Ferretti,Premium,18,7,2001,23,23,20 to 50 Years,1,Existing,74,2011,10,5 to 10 Years
Piazza Sempione,Contemporary,19,19,1991,33,33,20 to 50 Years,1,Existing,75,2011,20,5 to 10 Years
Prada,Luxury,19,19,1913,111,111,100 to 200 Years,1,Existing,76,2011,98,5 to 10 Years
Proenza Schouler,Premium,16,16,1997,27,27,20 to 50 Years,1,Existing,77,2011,14,5 to 10 Years
Rebecca Taylor,Contemporary,17,17,1996,28,28,20 to 50 Years,1,Existing,78,2011,15,5 to 10 Years
